Species No. 	 Folder 	 File 	 Date 	 Time 	B1 	 B2 	 B3 	 S1R 	 S1G 	 S1B 	 S1U 	 S1y 	 S1v 	 S2 	 S3 	 S5a 	 S5b 	 S5c 	 S6 	 S7 	 S8 	 S9 	 H1 	 H3 	 H4a 	 H4b 	 H4c
"LTW73 - LTW75"	"DMNS_1705"	"DMNS_1705_FL_Transmission_09-44-26-849"	"Wed Jan 15 09:44:26 MST 2020"	"Wed Jan 15 09:44:26 MST 2020"	"234.1331083334"	"0.5853327708335"	"0.727722222233333"	"0.282834241049482"	"0.260581457705769"	"0.276403881794654"	"0.180180419450096"	"0.211189482564007"	"0.215734980952547"	"4.395519583434"	"0.297087899394039"	"8.77028401916691"	"18.4835292505976"	"24.3080012945926"	"0.562162222233333"	"-0.845453382233861"	"0.960414742254782"	"-0.176077507980679"	"687"	"352"	"0.765048814502474"	"1.01003853670028"	"1.10021487104222"
"LTW76 - LTW78"	"DMNS_1705"	"DMNS_1705_FM_Transmission_09-43-46-853"	"Wed Jan 15 09:43:46 MST 2020"	"Wed Jan 15 09:43:46 MST 2020"	"179.879229444567"	"0.449698073611417"	"0.680905555566667"	"0.332174791609724"	"0.274678177360807"	"0.246955527534598"	"0.146191503494871"	"0.231575436695821"	"0.175730730173462"	"4.78881439117592"	"0.348137094069728"	"18.2578227110218"	"29.7678132986327"	"33.7249970628842"	"0.5387188889"	"-0.442668893403867"	"1.19795685263599"	"-0.407830229019779"	"696"	"463"	"0.775813283541093"	"0.804521594487364"	"0.828190609806952"
"LTW79 - LTW81"	"DMNS_1705"	"DMNS_1705_FS_Transmission_09-43-08-858"	"Wed Jan 15 09:43:08 MST 2020"	"Wed Jan 15 09:43:08 MST 2020"	"153.5386188889"	"0.38384654722225"	"0.57736"	"0.331081741526431"	"0.274876254984023"	"0.247229070280143"	"0.146812933209403"	"0.232014577410935"	"0.176497267350539"	"4.88047337278107"	"0.347084447237307"	"15.4677986641338"	"25.1647689498204"	"28.5930992443963"	"0.45906"	"-0.472353987639934"	"1.19594667015254"	"-0.402100068988903"	"695"	"456"	"0.783258025038172"	"0.805532902792844"	"0.83175814671404"
"LTW82 - LTW84"	"DMNS_1705"	"DMNS_1705_V_Transmission_09-45-05-846"	"Wed Jan 15 09:45:05 MST 2020"	"Wed Jan 15 09:45:05 MST 2020"	"240.984435000133"	"0.602461087500333"	"0.711213333333333"	"0.276118321823827"	"0.270356674926041"	"0.289087564237478"	"0.164437439012654"	"0.215737271348685"	"0.199830589335116"	"6.13820483314154"	"0.290567249476208"	"6.07683006899467"	"21.8598359509263"	"29.6834581690114"	"0.595346666666667"	"-0.883049127218592"	"0.988191069960742"	"-0.0742488108588886"	"694"	"347"	"1.21536783700324"	"1.32100392892697"	"1.3282766983111"
"LTW85 - LTW87"	"DMNS_1774"	"DMNS_1774_DH_Transmission_17-14-46-586"	"Tue Jan 14 17:14:46 MST 2020"	"Tue Jan 14 17:14:46 MST 2020"	"163.0412422224"	"0.407603105556"	"0.60722"	"0.326443088517643"	"0.276291895687673"	"0.258514652032069"	"0.138750363762615"	"0.230099721598615"	"0.169629360581914"	"5.89648475432123"	"0.342224003609606"	"14.2237752723926"	"25.7383360441141"	"30.0802473177658"	"0.50424"	"-0.617946237706952"	"1.23708576585102"	"-0.369161042741829"	"697"	"425"	"0.77897196602569"	"0.894508242802168"	"0.931757962075671"
"LTW88 - LTW90"	"DMNS_1774"	"DMNS_1774_DL_Transmission_17-15-57-579"	"Tue Jan 14 17:15:57 MST 2020"	"Tue Jan 14 17:15:57 MST 2020"	"84.5322116666333"	"0.211330529166583"	"0.319"	"0.317879480800807"	"0.25587273006728"	"0.242054927109045"	"0.184192862022867"	"0.215136069661262"	"0.214870220971274"	"3.20474181233675"	"0.332790325339424"	"7.78997632885221"	"10.8435328854163"	"11.8646054666128"	"0.21946"	"-0.118040939304703"	"1.03846803803254"	"-0.413602902178756"	"698"	"516"	"0.641481660400226"	"0.59124043225825"	"0.613430896219774"
"LTW91 - LTW93"	"DMNS_1774"	"DMNS_1774_DM_Transmission_17-15-23-582"	"Tue Jan 14 17:15:23 MST 2020"	"Tue Jan 14 17:15:23 MST 2020"	"153.809410555633"	"0.384523526389083"	"0.59722"	"0.335084091932668"	"0.276805086687682"	"0.246791607415574"	"0.141319213964076"	"0.232935927966781"	"0.170462554308513"	"5.11756640959726"	"0.351171317400395"	"15.9121366397187"	"26.4722897572976"	"29.95268470878"	"0.48052"	"-0.425603589441117"	"1.24965045575334"	"-0.418959516602614"	"697"	"469"	"0.783209728207468"	"0.819856487047084"	"0.839959733534554"
"LTW94 - LTW96"	"DMNS_1774"	"DMNS_1774_FL_Transmission_17-18-04-567"	"Tue Jan 14 17:18:04 MST 2020"	"Tue Jan 14 17:18:04 MST 2020"	"255.872793333333"	"0.639681983333333"	"0.781526666666667"	"0.277247903660931"	"0.25993181446932"	"0.278483254921541"	"0.184337026948208"	"0.2090247456903"	"0.21990035595552"	"3.76168014375562"	"0.291337196311792"	"7.85412537793606"	"18.668644570666"	"24.6346552116083"	"0.573766666666667"	"-0.833285062819887"	"0.896956115094586"	"-0.155927846168445"	"697"	"353"	"0.814326531072094"	"1.0809391019811"	"1.1507968135038"
"LTW97 - LTW99"	"DMNS_1774"	"DMNS_1774_FM_Transmission_17-17-30-571"	"Tue Jan 14 17:17:30 MST 2020"	"Tue Jan 14 17:17:30 MST 2020"	"170.464190555567"	"0.426160476388917"	"0.629813333333333"	"0.321852582769375"	"0.267533768081146"	"0.251060735163902"	"0.159552913985577"	"0.224257950455419"	"0.190440642660476"	"4.4896872920825"	"0.337319252483058"	"15.1904602425744"	"24.2221462820177"	"27.6024543447597"	"0.489533333333333"	"-0.479461602008769"	"1.14870655646297"	"-0.383069660627711"	"697"	"447"	"0.723629166134021"	"0.773351524214135"	"0.812719259563672"
"LTW100 - LTW102"	"DMNS_1774"	"DMNS_1774_FS_Transmission_17-16-42-575"	"Tue Jan 14 17:16:42 MST 2020"	"Tue Jan 14 17:16:42 MST 2020"	"145.666959444367"	"0.364167398610917"	"0.564033333333333"	"0.337353448568649"	"0.274008900065935"	"0.241989936961621"	"0.146647714403795"	"0.23273862451044"	"0.175725550696641"	"5.0510447761194"	"0.35344321027993"	"15.9715236827908"	"25.0434514250648"	"28.0849884825198"	"0.452366666666667"	"-0.391707057857725"	"1.24219429963302"	"-0.433232830022286"	"697"	"475"	"0.756278200234293"	"0.761471225590945"	"0.784731228205756"
